Konstrukt,Construct (Translated),Variablenname,Quelle (Unipark / R),Instruktion,Instructions (translated),Fragentext,Text of question (translated),Antwortformat,Format of answer (translate),fehlende Werte (Angabe durch Proband),fehlende Werte (systemseitig),"Rekodierung in R (s. Tabellenblatt ""neu berechnet"")",Anmerkungen,Notes (translated),Änderung über Wellen hinweg,"change between waves (translated)
","Welle 1
03./04.03.","Welle 2
10./11.03.","Welle 3
17./18.03.","Welle 4
24./25.03.","Welle 5
31.03./01.04.","Welle 6
07./08.04.","Welle 7
14./15.04.","Welle 8
21./22.04.","Welle 9
28./29.04.",Welle 10,Welle 11,Welle 12,Welle 13,Welle 14,Welle 15
Vertrauen in Informations-quellen (Corona) W3,Confidence in information sources (Corona) W3,TRUST2_INTERNET,Unipark,Bitte bewerten Sie nachfolgende Informationsquellen:   Wie sehr vertrauen Sie den folgenden Informationsquellen in Bezug auf die Berichtserstattung zum neuartigen Coronavirus? ,Please review the following information: How much do you trust the following information with respect to the reporting of novel coronavirus?,"Internetangebote (z.B. soziale Medien, Online-News Webseiten und Suchmaschinen)","Internet services (for example, social media, online news websites and search engines)","1	Sehr wenig Vertrauen
2	 
3	 
4	 
5	 
6	 
7	Sehr viel Vertrauen","1 Very little confidence
2
3
4
5
6
7 Very much confidence",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Vertrauen in Informations-quellen (Corona) W3,Confidence in information sources (Corona) W3,TRUST2_MAGAZINE,Unipark,Bitte bewerten Sie nachfolgende Informationsquellen:   Wie sehr vertrauen Sie den folgenden Informationsquellen in Bezug auf die Berichtserstattung zum neuartigen Coronavirus? ,Please review the following information: How much do you trust the following information with respect to the reporting of novel coronavirus?,"Magazine (z.B. Focus, Spiegel, Stern)","Magazine (for example, Focus, Spiegel, Stern)","1	Sehr wenig Vertrauen
2	 
3	 
4	 
5	 
6	 
7	Sehr viel Vertrauen","1 Very little confidence
2
3
4
5
6
7 Very much confidence",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Vertrauen in Informations-quellen (Corona) W3,Confidence in information sources (Corona) W3,TRUST2_SOC_MEDIA,Unipark,Bitte bewerten Sie nachfolgende Informationsquellen:   Wie sehr vertrauen Sie den folgenden Informationsquellen in Bezug auf die Berichtserstattung zum neuartigen Coronavirus? ,Please review the following information: How much do you trust the following information with respect to the reporting of novel coronavirus?,"Social Media (z.B. Facebook, Twitter, YouTube, WhatsApp)","Social media (eg Facebook, Twitter, YouTube, WhatsApp)","1	Sehr wenig Vertrauen
2	 
3	 
4	 
5	 
6	 
7	Sehr viel Vertrauen","1 Very little confidence
2
3
4
5
6
7 Very much confidence",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Vertrauen in Informations-quellen (Corona) W3,Confidence in information sources (Corona) W3,TRUST2_SEARCH,Unipark,Bitte bewerten Sie nachfolgende Informationsquellen:   Wie sehr vertrauen Sie den folgenden Informationsquellen in Bezug auf die Berichtserstattung zum neuartigen Coronavirus? ,Please review the following information: How much do you trust the following information with respect to the reporting of novel coronavirus?,Suchmaschinen (z.B. google),Search engines (e.g. Google),"1	Sehr wenig Vertrauen
2	 
3	 
4	 
5	 
6	 
7	Sehr viel Vertrauen","1 Very little confidence
2
3
4
5
6
7 Very much confidence",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Vertrauen in Informations-quellen (Corona) W3,Confidence in information sources (Corona) W3,TRUST2_PRIVATE_RADIO,Unipark,Bitte bewerten Sie nachfolgende Informationsquellen:   Wie sehr vertrauen Sie den folgenden Informationsquellen in Bezug auf die Berichtserstattung zum neuartigen Coronavirus? ,Please review the following information: How much do you trust the following information with respect to the reporting of novel coronavirus?,Private Radiosender,Private radio stations,"1	Sehr wenig Vertrauen
2	 
3	 
4	 
5	 
6	 
7	Sehr viel Vertrauen","1 Very little confidence
2
3
4
5
6
7 Very much confidence",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Vertrauen in Informations-quellen (Corona) W3,Confidence in information sources (Corona) W3,TRUST2_STATE_RADIO,Unipark,Bitte bewerten Sie nachfolgende Informationsquellen:   Wie sehr vertrauen Sie den folgenden Informationsquellen in Bezug auf die Berichtserstattung zum neuartigen Coronavirus? ,Please review the following information: How much do you trust the following information with respect to the reporting of novel coronavirus?,Öffentlich-rechtliche Radiosender,Public radio stations,"1	Sehr wenig Vertrauen
2	 
3	 
4	 
5	 
6	 
7	Sehr viel Vertrauen","1 Very little confidence
2
3
4
5
6
7 Very much confidence",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Vertrauen in Informations-quellen (Corona) W3,Confidence in information sources (Corona) W3,TRUST2_WEB_HEALTH,Unipark,Bitte bewerten Sie nachfolgende Informationsquellen:   Wie sehr vertrauen Sie den folgenden Informationsquellen in Bezug auf die Berichtserstattung zum neuartigen Coronavirus? ,Please review the following information: How much do you trust the following information with respect to the reporting of novel coronavirus?,Webseiten der Gesundheitsbehörden,Sites of health authorities,"1	Sehr wenig Vertrauen
2	 
3	 
4	 
5	 
6	 
7	Sehr viel Vertrauen","1 Very little confidence
2
3
4
5
6
7 Very much confidence",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Vertrauen in Informations-quellen (Corona) W3,Confidence in information sources (Corona) W3,"TRUST2_OTHERI
TRUST2_OTHERI_TXT",Unipark,Bitte bewerten Sie nachfolgende Informationsquellen:   Wie sehr vertrauen Sie den folgenden Medien? ,Please review the following information: How much do you trust the following media?,"Sonstige Quellen, nämlich:","Other sources, namely:","1	Sehr wenig Vertrauen
2	 
3	 
4	 
5	 
6	 
7	Sehr viel Vertrauen

TRUST2_OTHERI_TXT   Freitext","1 Very little confidence
2
3
4
5
6
7 Very much confidence

TRUST2_OTHERI_TXT free text",Keine,"NA
TRUST2_OTHERI: 0
TRUST2_OTHERI_TXT: -99",keine,keine Pflichtfrage,no compulsory question,Nein,No,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Nutzung von Informations-quellen (Corona) W3,Use of information sources (Corona) W3,USE2_STATE_TV,Unipark,"Bitte bewerten Sie nachfolgende Informationsquellen:   Wie häufig nutzen Sie die folgenden Informationsquellen, um sich über das neuartige Coronavirus zu informieren? ",Please review the following information: How often do you use the following sources of information to find out about the novel coronavirus?,öffentlich-rechtliche Fernsehsender,public television,"1	Nie
2	 
3	 
4	 
5	 
6	 
7	Sehr häufig","1 Never
2
3
4
5
6
7 Very common",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Nutzung von Informations-quellen (Corona) W3,Use of information sources (Corona) W3,USE2_STATE_MEDIA,Unipark,"Bitte bewerten Sie nachfolgende Informationsquellen:   Wie häufig nutzen Sie die folgenden Informationsquellen, um sich über das neuartige Coronavirus zu informieren? ",Please review the following information: How often do you use the following sources of information to find out about the novel coronavirus?,Öffentlich-rechtliche Medien (Fernsehen und Radio),Public service media (TV and radio),"1	Nie
2	 
3	 
4	 
5	 
6	 
7	Sehr häufig","1 Never
2
3
4
5
6
7 Very common",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Nutzung von Informations-quellen (Corona) W3,Use of information sources (Corona) W3,USE2_PRINT_NEWS,Unipark,"Bitte bewerten Sie nachfolgende Informationsquellen:   Wie häufig nutzen Sie die folgenden Informationsquellen, um sich über das neuartige Coronavirus zu informieren? ",Please review the following information: How often do you use the following sources of information to find out about the novel coronavirus?,Tages- oder Wochenzeitungen,Daily or weekly newspapers,"1	Nie
2	 
3	 
4	 
5	 
6	 
7	Sehr häufig","1 Never
2
3
4
5
6
7 Very common",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Nutzung von Informations-quellen (Corona) W3,Use of information sources (Corona) W3,USE2_CONVERSATIONS,Unipark,"Bitte bewerten Sie nachfolgende Informationsquellen:   Wie häufig nutzen Sie die folgenden Informationsquellen, um sich über das neuartige Coronavirus zu informieren? ",Please review the following information: How often do you use the following sources of information to find out about the novel coronavirus?,Gespräche im Familien- / Freundes- oder Kollegenkreis,Discussions with family / circle of friends or colleagues,"1	Nie
2	 
3	 
4	 
5	 
6	 
7	Sehr häufig","1 Never
2
3
4
5
6
7 Very common",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Nutzung von Informations-quellen (Corona) W3,Use of information sources (Corona) W3,USE2_PRIVATE_TV,Unipark,"Bitte bewerten Sie nachfolgende Informationsquellen:   Wie häufig nutzen Sie die folgenden Informationsquellen, um sich über das neuartige Coronavirus zu informieren? ",Please review the following information: How often do you use the following sources of information to find out about the novel coronavirus?,private Fernsehsender,private television stations,"1	Nie
2	 
3	 
4	 
5	 
6	 
7	Sehr häufig","1 Never
2
3
4
5
6
7 Very common",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Nutzung von Informations-quellen (Corona) W3,Use of information sources (Corona) W3,USE2_PRIVATE_MEDIA,Unipark,"Bitte bewerten Sie nachfolgende Informationsquellen:   Wie häufig nutzen Sie die folgenden Informationsquellen, um sich über das neuartige Coronavirus zu informieren? ",Please review the following information: How often do you use the following sources of information to find out about the novel coronavirus?,Private Medien (Fernsehen und Radio),Private media (television and radio),"1	Nie
2	 
3	 
4	 
5	 
6	 
7	Sehr häufig","1 Never
2
3
4
5
6
7 Very common",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Nutzung von Informations-quellen (Corona) W3,Use of information sources (Corona) W3,USE2_ONLINE_NEWS,Unipark,"Bitte bewerten Sie nachfolgende Informationsquellen:   Wie häufig nutzen Sie die folgenden Informationsquellen, um sich über das neuartige Coronavirus zu informieren? ",Please review the following information: How often do you use the following sources of information to find out about the novel coronavirus?,"Websites oder Online-News-Seiten (z.B. web.de, t-online.de)","Websites or online news sites (eg web.de, t-online.de)","1	Nie
2	 
3	 
4	 
5	 
6	 
7	Sehr häufig","1 Never
2
3
4
5
6
7 Very common",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Nutzung von Informations-quellen (Corona) W3,Use of information sources (Corona) W3,USE2_INTERNET,Unipark,"Bitte bewerten Sie nachfolgende Informationsquellen:   Wie häufig nutzen Sie die folgenden Informationsquellen, um sich über das neuartige Coronavirus zu informieren? ",Please review the following information: How often do you use the following sources of information to find out about the novel coronavirus?,"Internetangebote (z.B. soziale Medien, Online-News Webseiten und Suchmaschinen)","Internet services (for example, social media, online news websites and search engines)","1	Nie
2	 
3	 
4	 
5	 
6	 
7	Sehr häufig","1 Never
2
3
4
5
6
7 Very common",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Nein,Ja,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Nutzung von Informations-quellen (Corona) W3,Use of information sources (Corona) W3,USE2_INTERNET_2,Unipark,"Bitte bewerten Sie nachfolgende Informationsquellen:   Wie häufig nutzen Sie die folgenden Informationsquellen, um sich über das neuartige Coronavirus zu informieren? ",Please review the following information: How often do you use the following sources of information to find out about the novel coronavirus?,Internetangebote (z.B. Online-News Webseiten und Suchmaschinen),"Internet services (for example, online news websites and search engines)","1	Nie
2	 
3	 
4	 
5	 
6	 
7	Sehr häufig","1 Never
2
3
4
5
6
7 Very common",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Nutzung von Informations-quellen (Corona) W3,Use of information sources (Corona) W3,USE2_MAGAZINE,Unipark,"Bitte bewerten Sie nachfolgende Informationsquellen:   Wie häufig nutzen Sie die folgenden Informationsquellen, um sich über das neuartige Coronavirus zu informieren? ",Please review the following information: How often do you use the following sources of information to find out about the novel coronavirus?,"Magazine (z.B. Focus, Spiegel, Stern)","Magazine (for example, Focus, Spiegel, Stern)","1	Nie
2	 
3	 
4	 
5	 
6	 
7	Sehr häufig","1 Never
2
3
4
5
6
7 Very common",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Nutzung von Informations-quellen (Corona) W3,Use of information sources (Corona) W3,USE2_SOC_MEDIA,Unipark,"Bitte bewerten Sie nachfolgende Informationsquellen:   Wie häufig nutzen Sie die folgenden Informationsquellen, um sich über das neuartige Coronavirus zu informieren? ",Please review the following information: How often do you use the following sources of information to find out about the novel coronavirus?,"Social Media (z.B. Facebook, Twitter, YouTube, WhatsApp)","Social media (eg Facebook, Twitter, YouTube, WhatsApp)","1	Nie
2	 
3	 
4	 
5	 
6	 
7	Sehr häufig","1 Never
2
3
4
5
6
7 Very common",Keine,NA,keine,Vergleichbar mit USE_SOCIAL_MEDIA,Comparable to USE_SOCIAL_MEDIA,Nein,No,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Nutzung von Informations-quellen (Corona) W3,Use of information sources (Corona) W3,USE2_SEARCH,Unipark,"Bitte bewerten Sie nachfolgende Informationsquellen:   Wie häufig nutzen Sie die folgenden Informationsquellen, um sich über das neuartige Coronavirus zu informieren? ",Please review the following information: How often do you use the following sources of information to find out about the novel coronavirus?,Suchmaschinen (z.B. google),Search engines (e.g. Google),"1	Nie
2	 
3	 
4	 
5	 
6	 
7	Sehr häufig","1 Never
2
3
4
5
6
7 Very common",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Nutzung von Informations-quellen (Corona) W3,Use of information sources (Corona) W3,USE2_PRIVATE_RADIO,Unipark,"Bitte bewerten Sie nachfolgende Informationsquellen:   Wie häufig nutzen Sie die folgenden Informationsquellen, um sich über das neuartige Coronavirus zu informieren? ",Please review the following information: How often do you use the following sources of information to find out about the novel coronavirus?,private Radiosender,private radio stations,"1	Nie
2	 
3	 
4	 
5	 
6	 
7	Sehr häufig","1 Never
2
3
4
5
6
7 Very common",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Nutzung von Informations-quellen (Corona) W3,Use of information sources (Corona) W3,USE2_STATE_RADIO,Unipark,"Bitte bewerten Sie nachfolgende Informationsquellen:   Wie häufig nutzen Sie die folgenden Informationsquellen, um sich über das neuartige Coronavirus zu informieren? ",Please review the following information: How often do you use the following sources of information to find out about the novel coronavirus?,öffentlich-rechtliche Radiosender,public radio stations,"1	Nie
2	 
3	 
4	 
5	 
6	 
7	Sehr häufig","1 Never
2
3
4
5
6
7 Very common",Keine,NA,keine,Keine,No,Nein,No,Nein,Nein,Ja,Ja,Ja,Nein,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Nutzung von Informations-quellen (Corona) W3,Use of information sources (Corona) W3,USE2_WEB_HEALTH,Unipark,"Bitte bewerten Sie nachfolgende Informationsquellen:   Wie häufig nutzen Sie die folgenden Informationsquellen, um sich über das neuartige Coronavirus zu informieren? ",Please review the following information: How often do you use the following sources of information to find out about the novel coronavirus?,Webseiten der Gesundheitsbehörden,Sites of health authorities,"1	Nie
2	 
3	 
4	 
5	 
6	 
7	Sehr häufig","1 Never
2
3
4
5
6
7 Very common",Keine,NA,keine,Vergleichbar mit USE_WEB_HEALTH,Comparable to USE_WEB_HEALTH,Nein,No,Nein,Nein,Ja,Nein,Ja,Ja,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Nutzung von Informations-quellen (Corona) W3,Use of information sources (Corona) W3,"USE2_OTHERI
USE2_OTHERI_TXT",Unipark,"Bitte bewerten Sie nachfolgende Informationsquellen:   Wie häufig nutzen Sie die folgenden Informationsquellen, um sich über das neuartige Coronavirus zu informieren? ",Please review the following information: How often do you use the following sources of information to find out about the novel coronavirus?,"sonstige Quellen, nämlich:","other sources, namely:","1	Nie
2	 
3	 
4	 
5	 
6	 
7	Sehr häufig

USE2_OTHERI_TXT    Freitext","1 Never
2
3
4
5
6
7 Very common

USE2_OTHERI_TXT free text",Keine,"NA
USE2_OTHERI: 0
USE2_OTHERI_TXT: -99",keine,keine Pflichtfrage,no compulsory question,Nein,No,Nein,Nein,Ja,Ja,Ja,Ja,Nein,Ja,Nein,tba,tba,tba,tba,tba,tba
Informationshäufigkeit,information frequency,FREQ_INFO,Unipark,keine,no,Wie häufig informieren Sie sich zum Thema Coronavirus / COVID-19?,How often do you inform yourself about coronavirus / COVID-19?,"1	Nie   
2	 
3	 
4	 
5	 
6	 
7	Sehr häufig   ","1 Never
2
3
4
5
6
7 Very common",Keine,NA,keine,Keine,No,Nein,No,Nein,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Vertrauen in Institutionen,Trust in institutions,TRUST_DOCTOR,Unipark,"Wie viel Vertrauen haben Sie in die untenstehenden Personen und Organisationen, dass sie in der Lage sind, gut und richtig mit dem neuartigen Coronavirus umzugehen?",How much confidence do you have in the below individuals and organizations that they are well able and properly deal with the novel coronavirus?,Ihr Arzt,your doctor,"1	keine  Angabe möglich
3	Sehr wenig Vertrauen
4	 
5	 
6	 
7	 
8	 
9	Sehr viel Vertrauen","1 No information available
3 Very little confidence
4
5
6
7
8th
9 Very much confidence",1,keine,TRUST_DOCTOR_R,vor der Auswertung ist eine Rekodierung der Variable notwendig,before evaluation a recoding of the variable is necessary,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Vertrauen in Institutionen,Trust in institutions,TRUST_OCC_DOCTOR,Unipark,"Wie viel Vertrauen haben Sie in die untenstehenden Personen und Organisationen, dass sie in der Lage sind, gut und richtig mit dem neuartigen Coronavirus umzugehen?",How much confidence do you have in the below individuals and organizations that they are well able and properly deal with the novel coronavirus?,Ihr Betriebsarzt (falls vorhanden),Your company doctor (if any),"1	keine  Angabe möglich
3	Sehr wenig Vertrauen
4	 
5	 
6	 
7	 
8	 
9	Sehr viel Vertrauen","1 No information available
3 Very little confidence
4
5
6
7
8th
9 Very much confidence",1,keine,TRUST_OCC_DOCTOR_R,vor der Auswertung ist eine Rekodierung der Variable notwendig,before evaluation a recoding of the variable is necessary,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Vertrauen in Institutionen,Trust in institutions,TRUST_BOSS,Unipark,"Wie viel Vertrauen haben Sie in die untenstehenden Personen und Organisationen, dass sie in der Lage sind, gut und richtig mit dem neuartigen Coronavirus umzugehen?",How much confidence do you have in the below individuals and organizations that they are well able and properly deal with the novel coronavirus?,Ihr Arbeitgeber (falls vorhanden),Your employer (if any),"1	keine  Angabe möglich
3	Sehr wenig Vertrauen
4	 
5	 
6	 
7	 
8	 
9	Sehr viel Vertrauen","1 No information available
3 Very little confidence
4
5
6
7
8th
9 Very much confidence",1,keine,TRUST_BOSS_R,vor der Auswertung ist eine Rekodierung der Variable notwendig,before evaluation a recoding of the variable is necessary,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Vertrauen in Institutionen,Trust in institutions,TRUST_MEDIA,Unipark,"Wie viel Vertrauen haben Sie in die untenstehenden Personen und Organisationen, dass sie in der Lage sind, gut und richtig mit dem neuartigen Coronavirus umzugehen?",How much confidence do you have in the below individuals and organizations that they are well able and properly deal with the novel coronavirus?,Medien,media,"1	keine  Angabe möglich
3	Sehr wenig Vertrauen
4	 
5	 
6	 
7	 
8	 
9	Sehr viel Vertrauen","1 No information available
3 Very little confidence
4
5
6
7
8th
9 Very much confidence",1,keine,TRUST_MEDIA_R,vor der Auswertung ist eine Rekodierung der Variable notwendig,before evaluation a recoding of the variable is necessary,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Vertrauen in Institutionen,Trust in institutions,TRUST_HOSPITAL,Unipark,"Wie viel Vertrauen haben Sie in die untenstehenden Personen und Organisationen, dass sie in der Lage sind, gut und richtig mit dem neuartigen Coronavirus umzugehen?",How much confidence do you have in the below individuals and organizations that they are well able and properly deal with the novel coronavirus?,Krankenhäuser,hospitals,"1	keine  Angabe möglich
3	Sehr wenig Vertrauen
4	 
5	 
6	 
7	 
8	 
9	Sehr viel Vertrauen","1 No information available
3 Very little confidence
4
5
6
7
8th
9 Very much confidence",1,keine,TRUST_HOSPITAL_R,vor der Auswertung ist eine Rekodierung der Variable notwendig,before evaluation a recoding of the variable is necessary,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Vertrauen in Institutionen,Trust in institutions,TRUST_LOCAL_HEALTH,Unipark,"Wie viel Vertrauen haben Sie in die untenstehenden Personen und Organisationen, dass sie in der Lage sind, gut und richtig mit dem neuartigen Coronavirus umzugehen?",How much confidence do you have in the below individuals and organizations that they are well able and properly deal with the novel coronavirus?,Das örtliche Gesundheitsamt,The local health department,"1	keine  Angabe möglich
3	Sehr wenig Vertrauen
4	 
5	 
6	 
7	 
8	 
9	Sehr viel Vertrauen","1 No information available
3 Very little confidence
4
5
6
7
8th
9 Very much confidence",1,keine,TRUST_LOCAL_HEALTH_R,vor der Auswertung ist eine Rekodierung der Variable notwendig,before evaluation a recoding of the variable is necessary,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Vertrauen in Institutionen,Trust in institutions,TRUST_STATE_HEALTH,Unipark,"Wie viel Vertrauen haben Sie in die untenstehenden Personen und Organisationen, dass sie in der Lage sind, gut und richtig mit dem neuartigen Coronavirus umzugehen?",How much confidence do you have in the below individuals and organizations that they are well able and properly deal with the novel coronavirus?,Das Ministerium für Gesundheit Ihres Bundeslandes,The Ministry of Health in your province,"1	keine  Angabe möglich
3	Sehr wenig Vertrauen
4	 
5	 
6	 
7	 
8	 
9	Sehr viel Vertrauen","1 No information available
3 Very little confidence
4
5
6
7
8th
9 Very much confidence",1,keine,TRUST_STATE_HEALTH_R,vor der Auswertung ist eine Rekodierung der Variable notwendig,before evaluation a recoding of the variable is necessary,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Vertrauen in Institutionen,Trust in institutions,TRUST_FEDERAL_HEALTH,Unipark,"Wie viel Vertrauen haben Sie in die untenstehenden Personen und Organisationen, dass sie in der Lage sind, gut und richtig mit dem neuartigen Coronavirus umzugehen?",How much confidence do you have in the below individuals and organizations that they are well able and properly deal with the novel coronavirus?,Bundesministerium für Gesundheit,Federal Ministry of Health,"1	keine  Angabe möglich
3	Sehr wenig Vertrauen
4	 
5	 
6	 
7	 
8	 
9	Sehr viel Vertrauen","1 No information available
3 Very little confidence
4
5
6
7
8th
9 Very much confidence",1,keine,TRUST_FEDERAL_HEALTH_R,vor der Auswertung ist eine Rekodierung der Variable notwendig,before evaluation a recoding of the variable is necessary,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Vertrauen in Institutionen,Trust in institutions,TRUST_RKI,Unipark,"Wie viel Vertrauen haben Sie in die untenstehenden Personen und Organisationen, dass sie in der Lage sind, gut und richtig mit dem neuartigen Coronavirus umzugehen?",How much confidence do you have in the below individuals and organizations that they are well able and properly deal with the novel coronavirus?,Robert Koch-Institut (RKI),Robert Koch Institute (RKI),"1	keine  Angabe möglich
3	Sehr wenig Vertrauen
4	 
5	 
6	 
7	 
8	 
9	Sehr viel Vertrauen","1 No information available
3 Very little confidence
4
5
6
7
8th
9 Very much confidence",1,keine,TRUST_RKI_R,vor der Auswertung ist eine Rekodierung der Variable notwendig,before evaluation a recoding of the variable is necessary,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Vertrauen in Institutionen,Trust in institutions,TRUST_BZGA,Unipark,"Wie viel Vertrauen haben Sie in die untenstehenden Personen und Organisationen, dass sie in der Lage sind, gut und richtig mit dem neuartigen Coronavirus umzugehen?",How much confidence do you have in the below individuals and organizations that they are well able and properly deal with the novel coronavirus?,Bundeszentrale für gesundheitliche Aufklärung (BZgA),Federal Center for Health Education (BZgA),"1	keine  Angabe möglich
3	Sehr wenig Vertrauen
4	 
5	 
6	 
7	 
8	 
9	Sehr viel Vertrauen","1 No information available
3 Very little confidence
4
5
6
7
8th
9 Very much confidence",1,keine,TRUST_BZGA_R,vor der Auswertung ist eine Rekodierung der Variable notwendig,before evaluation a recoding of the variable is necessary,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
Vertrauen in Institutionen,Trust in institutions,TRUST_MEDIC_COMM,Unipark,"Wie viel Vertrauen haben Sie in die untenstehenden Personen und Organisationen, dass sie in der Lage sind, gut und richtig mit dem neuartigen Coronavirus umzugehen?",How much confidence do you have in the below individuals and organizations that they are well able and properly deal with the novel coronavirus?,Medizinische Fachgesellschaften (z.B. Bundesärztekammer),Medical associations (e.g. Bundesärztekammer),"1	keine  Angabe möglich
3	Sehr wenig Vertrauen
4	 
5	 
6	 
7	 
8	 
9	Sehr viel Vertrauen","1 No information available
3 Very little confidence
4
5
6
7
8th
9 Very much confidence",1,keine,TRUST_MEDIC_COMM_R,vor der Auswertung ist eine Rekodierung der Variable notwendig,before evaluation a recoding of the variable is necessary,Nein,No,Ja,Ja,Ja,Ja,Ja,Ja,Nein,Nein,Nein,tba,tba,tba,tba,tba,tba
Vertrauen in Institutionen,Trust in institutions,TRUST_SCIENCE,Unipark,"Wie viel Vertrauen haben Sie in die untenstehenden Personen und Organisationen, dass sie in der Lage sind, gut und richtig mit dem neuartigen Coronavirus umzugehen?",How much confidence do you have in the below individuals and organizations that they are well able and properly deal with the novel coronavirus?,Wissenschaft,science,"1	keine  Angabe möglich
3	Sehr wenig Vertrauen
4	 
5	 
6	 
7	 
8	 
9	Sehr viel Vertrauen","1 No information available
3 Very little confidence
4
5
6
7
8th
9 Very much confidence",1,NA,TRUST_SCIENCE_R,vor der Auswertung ist eine Rekodierung der Variable notwendig,before evaluation a recoding of the variable is necessary,Nein,No,Nein,Nein,Nein,Ja,Ja,Ja,Ja,Ja,Ja,tba,tba,tba,tba,tba,tba
